businesscomponent_shortname,ercsa_shortname,weight
TPOPSP,CONTRL,10
TPODES,CONTRL,10
TPPTDV,CONTRL,10
TPTDEC,CONTRL,10
TPOTOC,CONTRL,10
TPOCAM,CONTRL,10
TPTDCM,CONTRL,10
TPOPCA,CONTRL,10
TPOCLM,CONTRL,10
TPTDLM,CONTRL,10
TPOTDS,CONTRL,10
TPOPAY,CONTRL,10
TPOCOM,CONTRL,10
TPOCUS,CONTRL,10
TPOLOP,CONTRL,10
TPOTRP,CONTRL,10
TPOFXP,CONTRL,10
TPOSEP,CONTRL,10
TPODEP,CONTRL,10
TPONOR,CONTRL,10
TPOTAR,CONTRL,10
TPGLPS,CONTRL,10
TPOPSP,PEOPLE,10
TPODES,PEOPLE,10
TPPTDV,PEOPLE,10
TPTDEC,PEOPLE,10
TPOTOC,PEOPLE,10
TPOCAM,PEOPLE,10
TPTDCM,PEOPLE,10
TPOPCA,PEOPLE,10
TPOCLM,PEOPLE,10
TPTDLM,PEOPLE,10
TPOTDS,PEOPLE,10
TPOPAY,PEOPLE,10
TPOCOM,PEOPLE,10
TPOCUS,PEOPLE,10
TPOLOP,PEOPLE,10
TPOTRP,PEOPLE,10
TPOFXP,PEOPLE,10
TPOSEP,PEOPLE,10
TPODEP,PEOPLE,10
TPONOR,PEOPLE,10
TPOTAR,PEOPLE,10
TPGLPS,PEOPLE,10
TPOPSP,EXECTN,10
TPODES,EXECTN,10
TPPTDV,EXECTN,10
TPTDEC,EXECTN,10
TPOTOC,EXECTN,10
TPOCAM,EXECTN,10
TPTDCM,EXECTN,10
TPOPCA,EXECTN,10
TPOCLM,EXECTN,10
TPTDLM,EXECTN,10
TPOTDS,EXECTN,10
TPOPAY,EXECTN,10
TPOCOM,EXECTN,10
TPOCUS,EXECTN,10
TPOLOP,EXECTN,10
TPOTRP,EXECTN,10
TPOFXP,EXECTN,10
TPOSEP,EXECTN,10
TPODEP,EXECTN,10
TPONOR,EXECTN,10
TPOTAR,EXECTN,10
TPGLPS,EXECTN,10
TPOPSP,BUSCON,8
TPODES,BUSCON,8
TPPTDV,BUSCON,8
TPTDEC,BUSCON,8
TPOTOC,BUSCON,8
TPOCAM,BUSCON,8
TPTDCM,BUSCON,8
TPOPCA,BUSCON,8
TPOCLM,BUSCON,8
TPTDLM,BUSCON,8
TPOTDS,BUSCON,8
TPOPAY,BUSCON,8
TPOCOM,BUSCON,8
TPOCUS,BUSCON,8
TPOLOP,BUSCON,8
TPOTRP,BUSCON,8
TPOFXP,BUSCON,8
TPOSEP,BUSCON,8
TPODEP,BUSCON,8
TPONOR,BUSCON,8
TPOTAR,BUSCON,8
TPGLPS,BUSCON,8
TPOPSP,RSKCTL,6
TPODES,RSKCTL,6
TPPTDV,RSKCTL,6
TPTDEC,RSKCTL,6
TPOTOC,RSKCTL,6
TPOCAM,RSKCTL,6
TPTDCM,RSKCTL,6
TPOPCA,RSKCTL,6
TPOCLM,RSKCTL,6
TPTDLM,RSKCTL,6
TPOTDS,RSKCTL,6
TPOPAY,RSKCTL,6
TPOCOM,RSKCTL,6
TPOCUS,RSKCTL,6
TPOLOP,RSKCTL,6
TPOTRP,RSKCTL,6
TPOFXP,RSKCTL,6
TPOSEP,RSKCTL,6
TPODEP,RSKCTL,6
TPONOR,RSKCTL,6
TPOTAR,RSKCTL,6
TPGLPS,RSKCTL,6
TPOPSP,INTLAM,6
TPODES,INTLAM,6
TPPTDV,INTLAM,6
TPTDEC,INTLAM,6
TPOTOC,INTLAM,6
TPOCAM,INTLAM,6
TPTDCM,INTLAM,6
TPOPCA,INTLAM,6
TPOCLM,INTLAM,6
TPTDLM,INTLAM,6
TPOTDS,INTLAM,6
TPOPAY,INTLAM,6
TPOCOM,INTLAM,6
TPOCUS,INTLAM,6
TPOLOP,INTLAM,6
TPOTRP,INTLAM,6
TPOFXP,INTLAM,6
TPOSEP,INTLAM,6
TPODEP,INTLAM,6
TPONOR,INTLAM,6
TPOTAR,INTLAM,6
TPGLPS,INTLAM,6
TPOPSP,POLPRO,2
TPODES,POLPRO,2
TPPTDV,POLPRO,2
TPTDEC,POLPRO,2
TPOTOC,POLPRO,2
TPOCAM,POLPRO,2
TPTDCM,POLPRO,2
TPOPCA,POLPRO,2
TPOCLM,POLPRO,2
TPTDLM,POLPRO,2
TPOTDS,POLPRO,2
TPOPAY,POLPRO,2
TPOCOM,POLPRO,2
TPOCUS,POLPRO,2
TPOLOP,POLPRO,2
TPOTRP,POLPRO,2
TPOFXP,POLPRO,2
TPOSEP,POLPRO,2
TPODEP,POLPRO,2
TPONOR,POLPRO,2
TPOTAR,POLPRO,2
TPGLPS,POLPRO,2
TPOPSP,PHSACC,4
TPODES,PHSACC,4
TPPTDV,PHSACC,4
TPTDEC,PHSACC,4
TPOTOC,PHSACC,4
TPOCAM,PHSACC,4
TPTDCM,PHSACC,4
TPOPCA,PHSACC,4
TPOCLM,PHSACC,4
TPTDLM,PHSACC,4
TPOTDS,PHSACC,4
TPOPAY,PHSACC,4
TPOCOM,PHSACC,4
TPOCUS,PHSACC,4
TPOLOP,PHSACC,4
TPOTRP,PHSACC,4
TPOFXP,PHSACC,4
TPOSEP,PHSACC,4
TPODEP,PHSACC,4
TPONOR,PHSACC,4
TPOTAR,PHSACC,4
TPGLPS,PHSACC,4
RDMCCD,CONTRL,10
RDMMAD,CONTRL,10
RDMPID,CONTRL,10
RDMCCD,PEOPLE,10
RDMMAD,PEOPLE,10
RDMPID,PEOPLE,10
RDMCCD,EXECTN,10
RDMMAD,EXECTN,10
RDMPID,EXECTN,10
RDMCCD,BUSCON,8
RDMMAD,BUSCON,8
RDMPID,BUSCON,8
RDMCCD,RSKCTL,6
RDMMAD,RSKCTL,6
RDMPID,RSKCTL,6
RDMCCD,INTLAM,6
RDMMAD,INTLAM,6
RDMPID,INTLAM,6
RDMCCD,PHSACC,4
