businesscomponent_shortname,product_shortname
ALOCRL,CDOS
ALOCRL,COMLNS
ALOCRL,FXFWDS
ALOSAS,CDOS
ALOSAS,COMLNS
ALOSAS,FXFWDS
ALOTIR,COMLNS
ALOTRF,CDOS
ALOTRF,COMLNS
COSCCD,CDOS
COSCCD,COMLNS
COSCCD,FXFWDS
COSFTS,CDOS
COSFTS,COMLNS
COSFTS,FXFWDS
COSGLO,CDOS
COSGLO,COMLNS
COSGLO,FXFWDS
COSGLS,FXFWDS
COSGNS,CDOS
COSGNS,COMLNS
COSGNS,FXFWDS
COSMAD,CDOS
COSMAD,FXFWDS
COSPID,COMLNS
COSTRS,CDOS
COSTRS,COMLNS
COSTRS,FXFWDS
RDMCCD,CDOS
TPGLPS,CDOS
TPGLPS,COMLNS
TPGLPS,FXFWDS
TPOCAM,CDOS
TPOCAM,COMLNS
TPOCAM,FXFWDS
TPOCLM,CDOS
TPOCLM,COMLNS
TPOCLM,FXFWDS
TPOCOM,CDOS
TPOCOM,COMLNS
TPOCUS,COMLNS
TPODEP,CDOS
TPODES,CDOS
TPOFXP,FXFWDS
TPOLOP,COMLNS
TPONOR,CDOS
TPONOR,COMLNS
TPONOR,FXFWDS
TPOPAY,COMLNS
TPOPCA,CDOS
TPOPCA,FXFWDS
TPOPSP,CDOS
TPOPSP,COMLNS
TPOSEP,CDOS
TPOTAR,CDOS
TPOTAR,FXFWDS
TPOTDS,CDOS
TPOTDS,FXFWDS
TPOTOC,COMLNS
TPPTDV,CDOS
TPPTDV,FXFWDS
TPTDCM,CDOS
TPTDCM,FXFWDS
TPTDEC,CDOS
TPTDEC,FXFWDS
TPTDLM,CDOS
TPTDLM,FXFWDS
TRABOT,CDOS
TRABOT,FXFWDS
TRABST,CDOS
TRABST,COMLNS
TRABST,FXFWDS
TRAEQT,CDOS
TRAEQT,COMLNS
TRAEQT,FXFWDS
TRAFUT,CDOS
TRAFUT,FXFWDS
TRAFXT,CDOS
TRAFXT,COMLNS
TRAFXT,FXFWDS
TRAFXT,REPOS
TRAEQT,REPOS
TRABST,REPOS
TPTDLM,REPOS
TPTDEC,REPOS
TPTDCM,REPOS
TPPTDV,REPOS
TPOTRP,REPOS
TPOTDS,REPOS
TPOSEP,REPOS
TPONOR,REPOS
TPOCOM,REPOS
TPOCLM,REPOS
TPOCAM,REPOS
TPGLPS,REPOS
COSTRS,REPOS
COSGNS,REPOS
COSGLO,REPOS
COSFTS,REPOS
COSCCD,REPOS
ALOTIR,REPOS
ALOSAS,REPOS
ALOCRL,REPOS
ALOSAS,FXDTDS
ALOTIR,FXDTDS
COSCCD,FXDTDS
COSFTS,FXDTDS
COSGLO,FXDTDS
COSGNS,FXDTDS
COSTRS,FXDTDS
TPGLPS,FXDTDS
TPOCAM,FXDTDS
TPONOR,FXDTDS
TPOPAY,FXDTDS
TPOTOC,FXDTDS
TPOTRP,FXDTDS
TRABST,FXDTDS
TRAEQT,FXDTDS
TRAFXT,FXDTDS
TRAFXT,XCSWPS
TRAEQT,XCSWPS
TRABST,XCSWPS
TPTDLM,XCSWPS
TPTDEC,XCSWPS
TPTDCM,XCSWPS
TPPTDV,XCSWPS
TPOTRP,XCSWPS
TPOTDS,XCSWPS
TPOPCA,XCSWPS
TPONOR,XCSWPS
TPOCLM,XCSWPS
TPOCAM,XCSWPS
TPGLPS,XCSWPS
COSTRS,XCSWPS
COSGNS,XCSWPS
COSGLO,XCSWPS
COSFTS,XCSWPS
COSCCD,XCSWPS
ALOTIR,XCSWPS
ALOSAS,XCSWPS
ALOCRL,XCSWPS
TRAFXT,FUTRES
TRAFUT,FUTRES
TRAEQT,FUTRES
TRABST,FUTRES
TRABOT,FUTRES
TPTDLM,FUTRES
TPTDEC,FUTRES
TPPTDV,FUTRES
TPOTDS,FUTRES
TPOTAR,FUTRES
TPOSEP,FUTRES
TPOPCA,FUTRES
TPONOR,FUTRES
TPOCOM,FUTRES
TPOCAM,FUTRES
TPGLPS,FUTRES
COSTRS,FUTRES
