product_shortname,risktype_shortname,value
FXFWDS,PROC,12
FXFWDS,TRAD,4
FXFWDS,LEND,4
FXFWDS,SELL,6
FXFWDS,FUND,2
FXFWDS,INTR,0
COMLNS,PROC,10
COMLNS,TRAD,0
COMLNS,LEND,8
COMLNS,SELL,2
COMLNS,FUND,6
COMLNS,INTR,6
FXDTDS,PROC,6
FXDTDS,TRAD,0
FXDTDS,LEND,0
FXDTDS,SELL,4
FXDTDS,FUND,6
FXDTDS,INTR,6
REPOS,PROC,12
REPOS,TRAD,0
REPOS,LEND,5
REPOS,SELL,2
REPOS,FUND,6
REPOS,INTR,6
XCSWPS,PROC,11
XCSWPS,TRAD,0
XCSWPS,LEND,8
XCSWPS,SELL,2
XCSWPS,FUND,6
XCSWPS,INTR,6
FUTRES,PROC,11
FUTRES,TRAD,4
FUTRES,LEND,0
FUTRES,SELL,9
FUTRES,FUND,2
FUTRES,INTR,0
CDOS,PROC,16
CDOS,TRAD,18
CDOS,LEND,18
CDOS,SELL,12
CDOS,FUND,2
CDOS,INTR,0
EQTIES,PROC,13
EQTIES,TRAD,4
EQTIES,LEND,0
EQTIES,SELL,13
EQTIES,FUND,2
EQTIES,INTR,0
FXDINC,PROC,12
FXDINC,TRAD,4
FXDINC,LEND,8
FXDINC,SELL,13
FXDINC,FUND,2
FXDINC,INTR,0
PMTORD,PROC,5
PMTORD,TRAD,0
PMTORD,LEND,0
PMTORD,SELL,2
PMTORD,FUND,0
PMTORD,INTR,0
